code,num,bc2_id_count,bc2_ids,raw_titles
BRD,029,2,14477830;14611148,BRD-029: Korean & Mandarin Pages | BRD-029: Pocket Folder Reorder
BRD,039,2,15738921;15656382,BRD-039: CPAF Gala Ad | BRD-039: Website Audit & Home Page GUI
BRGS,012,2,18684216;18458598,BRGS-012: Site Fix | BRGS-012: Website Updates
CAMG,002,2,17306184;17346690,CAMG-002: Eblast | CAMG-002: Logo
EPGR,021,2,19825812;19877292,EPGR-021: QR Code Issues | EPGR-021: Website Changes
JFLA,000,2,17116843;17112768,JFLA-000: H B Landing Page & Donor Change | JFLA-000: Table Change
JFLA,159,2,18111498;18049783,JFLA-159: Annual Report (2020) | JFLA-159: Blogs on Site
JFLA,199,2,18589538;18654530,JFLA-199: Billboards Phase II (SFV) | JFLA-199: Website Login Process Update
JFLA,200,2,18589541;18658201,JFLA-200: Cable Spots in SFV | JFLA-200: Feit Gala Program
JFLA,201,2,18602182;18660930,JFLA-201: Add Donor Privacy Policy to Site | JFLA-201: Shalom Santa Barbara Ad 2022
JFLA,293,2,19391159;19404560,JFLA-293: 15 Sec Video | JFLA-293: Add New Loan Type  Other Changes
JFLA,440,2,20142993;20135095,JFLA-440: Content Update to Improve AI Search | JFLA-440: Wildfire Stewardship LH & Envelope
KKB,020,2,12677787;13538141,KKB-020: Business Card Master | KKB-020: Stationery Reorder
MAP,055,2,16104131;15899512,MAP-055: Announcement | MAP-055: Social Media Ad (We're Hiring!)
MAP,086,2,17306189;17378576,MAP-086: New Payment Portal Option | MAP-086: Zoom Background
MAP,098,2,17819131;17902408,MAP-098: Social Media CPA Primer Branding | MAP-098: Zoom Background
MAP,105,2,18046601;17891689,MAP-105: Endscreen Animation | MAP-105: Name Change Project
MIA,041,2,15203523;15228551,MIA-041: Audit Info Sheet Update | MIA-041: Audit Sheet Update
MIA,044,2,15527391;15194098,MIA-044: Announcement (Digital Version) | MIA-044: Screens for Lobby Signage
MIA,045,2,15346164;15527497,MIA-045: 401(k) Mailing II | MIA-045: Open House Invitation (Digital Only)
MON,458,2,17833836;14515507,MON-458: Project List Update | MON-458: Welby Print Marketing
MON,459,2,18024185;14580033,MON-459: Building Signs | MON-459: Tampa Construction Sign
MON,470,2,15651314;15555022,MON-470: Serra Meadows Site/Floor Plans | MON-470: Welby Slideshow
MON,476,2,15772316;16296201,MON-476: Encino Verde Adwords Campaign | MON-476: For Rent Sign
MON,477,2,16304539;15792935,MON-477: Serra Meadows E-Blasts | MON-477: Tampa Full Website
MON,478,2,15894133;16349177,MON-478: Serra Meadows Ad | MON-478: Serra Meadows Sign Rider
MON,479,2,16035187;16370365,MON-479: Business Cards (Ed Young) | MON-479: Serra Meadows (Zillow)
MON,483,2,16557222;16512025,MON-483: MontageDev DCCC Addition | MON-483: Serra Meadows DM Postcard
MVO,033,2,18378922;17910553,MVO-033: Lose Cara | MVO-033: Zoom Background
NAV,004,2,16187986;16277780,NAV-004: Letterhead (Digital) | NAV-004: TD Ameritrade Logo
NAV,010,2,18735295;16358547,NAV-010: Missing Images | NAV-010: Site Upgrade
NEM,033,2,19317362;19212907,NEM-033: BHBA Tribute Ad for Marta A. & Genie H. | NEM-033: Tina Update
NH,041,2,14438656;14495475,NH-041: One Sheet | NH-041: Year in Review
NH,042,2,14552665;14611173,NH-042: MMLG One Sheet | NH-042: MMLG One Sheet Reorder
PC,003,2,13346483;13480469,PC-003: Falcon Site Changes | PC-003: Website
PLD,062,3,18505529;18689975;18664796,PLD-062: Rate Increase Changes on Website | PLD-062: Rate Increases on Site | PLD-062: Update Payment Links
Poms,092,2,18084007;18065297,Poms-092: Certificates for WSH USD | Poms-092: CJPIA Document Formatting
Poms,093,2,18071725;18087142,Poms-093: AIG & NMPSIA Headers | Poms-093: Ergonomics Newsletter
Poms,1140,2,19888206;19884477,Poms-1140: Contractor Connection Show Pull-Up Banner & Tabletop Poster | Poms-1140: HQ Address Update on Bing Map
Shebby,004,2,19951727;19760097,Shebby-004: Bio Update | Shebby-004: Bio Updates on Site
Shebby,008,2,20109495;20136729,Shebby-008: Bio Update for David Shebby | Shebby-008: News Post
Singer,006,2,17561031;17839911,Singer-006: Graphic Update | Singer-006: Site Changes
SKA,027,2,17106993;17007696,SKA-027: Add Menu to Bottom of Site | SKA-027: Photo Retouching (Hikin)
SKA,040,2,18153123;18308077,"SKA-040: Add ""Best Places to Work"" Badge to Top Nav | SKA-040: Employee Profile Email Template"
SKA,052,2,19366203;19339869,SKA-052: Hosting/Domain Issues | SKA-052: Website Help from Matt
SKA,058,2,19533949;19678082,SKA-058: Add Podcast to Site & Top Nav | SKA-058: Post Podcast to Site
SKA,059,2,19685214;19569136,SKA-059: Add Podcast to Site | SKA-059: Podcast E-blast Design
SKA,066,2,19802155;19794136,SKA-066: Add Podcast to Site (Ep. 66) | SKA-066: Fixing PDF Issue
SLJ,088,2,19291714;19018564,SLJ-088: 1/4 Page Tribute Ad for Jim in Daily Journal | SLJ-088: Full Page Ads for LABJ and Daily Journal
SLU,028,2,14041551;13898176,SLU-028: Photo Shoot | SLU-028: Site Updates
SLU,033,2,14390904;14810133,SLU-033: Business Cards (King & Hanusz) | SLU-033: YiR 2017
SLU,049,2,15996072;15777909,SLU-049: Law Clerk Mailer | SLU-049: Website Updates
SLU,054,2,16889608;16862832,SLU-054: Holiday Card 2019 | SLU-054: New Attorney On Site
Aire,085,2,18247498;18236299,Steril-Aire-085: E-blast #15 | Steril-Aire-085: Eblast #15
TPoY,004,2,20071224;20143970,TPoY-004: Add Two Testimonials to Site | TPoY-004: Post Case Study on Site
Union,002,2,18779757;18699173,Union-002: Branding Logos 'n Stuff | Union-002: PPT Deck Updates
Union,023,2,19061590;18996375,Union-023: Temporary Union Home Header | Union-023: Union Testimonial Video
Union,024,2,19003808;19062420,Union-024: All Hands Product Branding Art | Union-024: Stash Testimonial Video
Union,027,2,19086435;19099630,Union-027 Gartner Deck | Union-027: Union Square Logo
VVA,009,2,18128716;18590676,VVA-009: Sample Pages | VVA-009: Truck Decal Changes
